Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
6,6,aide,help
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,23,longtemps,long time
24,24,vont,will
25,25,pendant,while
26,26,revoir,meet again
27,27,aucune,any
28,28,parle,speak
29,29,compris,understood
30,30,savais,knew
31,31,étaient,were
32,32,attention,Warning
33,33,voici,here is
35,35,donner,give
36,36,type,type
37,37,leurs,their
38,38,donné,given
39,39,train,train
40,40,corps,body
41,41,endroit,place
42,42,yeux,eyes
43,43,façon,way
45,45,trouve,find
46,46,premier,first
47,47,perdu,lost
48,48,main,hand
50,50,côté,side
51,51,pouvoir,power
52,52,vieux,old
53,53,sois,be
54,54,tiens,here
55,55,matin,morning
56,56,tellement,so much
57,57,enfant,child
58,58,point,point
59,59,venu,came
60,60,suite,after
61,61,pardon,sorry
62,62,venez,come
63,63,devant,in front of
65,66,demandé,request
66,67,chambre,bedroom
67,68,mis,placed
68,69,belle,beautiful
69,70,droit,law
70,71,aimerais,would like to
71,72,aujourd'hui,today
72,73,mari,husband
73,74,cause,cause
74,75,enfin,finally
75,76,espère,hope
76,77,eau,water
77,78,attendez,Wait
78,79,parti,left
79,80,nouvelle,new
80,81,boulot,job
81,82,arrêter,Stop
82,83,dirait,would say
83,84,terre,Earth
84,85,compte,account
85,86,donne,given
86,87,loin,far
87,88,fin,end
88,89,croire,believe
89,90,chérie,sweetheart
90,91,gros,large
91,92,plutôt,rather
92,93,aura,will have
94,95,jouer,to play
95,96,bureau,office
